name,category,calories,ingredients,instructions
Caprese Salad,Appetisers,200,"Tomatoes,Fresh Mozzarella,Basil Leaves,Extra Virgin Olive Oil,Balsamic Glaze","Arrange tomato and mozzarella slices on a plate. Top with basil leaves. Drizzle with olive oil and balsamic glaze."
Bruschetta,Starters,300,"Baguette,Tomatoes,Garlic,Fresh Basil,Balsamic Glaze,Olive Oil","Toast sliced baguette. Mix diced tomatoes, garlic, basil, olive oil, and balsamic glaze. Top baguette slices with the mixture."
Spaghetti Bolognese,Main dishes,600,"Spaghetti,Ground Beef,Onion,Garlic,Tomato Sauce,Parmesan Cheese","Cook spaghetti. Brown ground beef with onion and garlic. Add tomato sauce. Serve over spaghetti. Sprinkle with Parmesan cheese."
Chocolate Cake,Desserts,400,"Flour,Sugar,Cocoa Powder,Baking Powder,Eggs,Milk,Butter,Vanilla Extract","Mix dry ingredients. Beat eggs, milk, butter, and vanilla extract. Combine dry and wet ingredients. Bake in a greased pan."
Caesar Salad,Starters,250,"Romaine Lettuce,Croutons,Parmesan Cheese,Caesar Dressing","Toss chopped romaine lettuce with croutons, Parmesan cheese, and Caesar dressing."
Chicken Alfredo,Main dishes,700,"Fettuccine,Chicken Breast,Heavy Cream,Parmesan Cheese,Garlic,Butter","Cook fettuccine. Brown chicken breast. Add heavy cream, Parmesan cheese, and garlic. Toss with cooked pasta."
Apple Pie,Desserts,350,"Pie Crust,Apples,Sugar,Cinnamon,Flour,Butter","Peel and slice apples. Mix with sugar, cinnamon, and flour. Fill pie crust. Dot with butter. Bake until golden brown."
Guacamole,Appetisers,180,"Avocado,Tomato,Onion,Lime Juice,Cilantro,Salt","Mash avocado. Mix with diced tomato, onion, lime juice, cilantro, and salt."
Vegetable Stir Fry,Main dishes,400,"Broccoli,Carrots,Bell Pepper,Snow Peas,Soy Sauce,Ginger,Garlic","Stir fry vegetables in soy sauce, ginger, and garlic until tender."
Chocolate Chip Cookies,Desserts,250,"Flour,Butter,Sugar,Brown Sugar,Egg,Vanilla Extract,Baking Soda,Chocolate Chips","Cream butter, sugar, and eggs. Mix in flour, vanilla extract, and baking soda. Fold in chocolate chips. Bake until golden brown."